sat_name,inc_family,maneuver_class,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,u_deg,da_km,de,di_deg,draan_raw_deg,draan_j2_deg,draan_res_deg,du_deg,da_severity,dv_est_ms,flagged,flag_reason
STARLINK-37460,SSO,phasing,2026-05-03 01:34:42+00:00,2026-05-03 09:29:42+00:00,7.92,6695.603,317.47,0.003081,97.2072,328.2579,281.1151,22.4317,-0.001857,-0.00455,0.348,0.3457,0.0023,74.411,large,12.925,True,da=+22.43km[large] | de=-0.00186
STARLINK-36962,53deg,phasing,2026-05-03 17:39:42+00:00,2026-05-04 09:34:42+00:00,15.92,6791.2,413.06,0.000308,53.2707,62.7568,89.4456,22.4317,0.000877,0.03314,-3.1539,-3.1531,-0.0007,97.0099,large,12.653,True,da=+22.43km[large] | di=+0.0331deg
STARLINK-37471,SSO,phasing,2026-05-03 01:30:42+00:00,2026-05-03 09:26:42+00:00,7.93,6695.073,316.94,0.003125,97.2072,328.2496,261.1202,20.6205,-0.002236,-0.00342,0.3547,0.3468,0.0079,78.3904,large,11.882,True,da=+20.62km[large] | de=-0.00224
STARLINK-37370,SSO,mixed,2026-05-03 09:47:42+00:00,2026-05-03 17:42:42+00:00,7.92,6698.848,320.71,0.000738,97.2115,328.6206,79.852,18.7979,0.000875,-0.00707,0.356,0.3456,0.0104,73.2321,large,10.823,True,da=+18.80km[large]
STARLINK-37442,SSO,mixed,2026-05-05 09:42:42+00:00,2026-05-05 17:38:42+00:00,7.93,6709.745,331.61,0.0031,97.218,330.7355,276.4098,18.4097,-0.002018,-0.01044,0.3492,0.3447,0.0046,73.0555,large,10.574,True,da=+18.41km[large] | de=-0.00202
STARLINK-37213,SSO,raising,2026-05-06 01:37:42+00:00,2026-05-06 09:45:42+00:00,8.13,6803.442,425.3,0.001444,97.2696,357.2925,7.2847,-18.6506,-0.000826,0.01423,0.3444,0.3428,0.0015,88.9097,large,10.492,True,da=-18.65km[large]
STARLINK-36715,SSO,phasing,2026-05-03 17:43:42+00:00,2026-05-04 09:48:42+00:00,16.08,6850.18,472.04,0.001234,97.1589,235.2488,0.1072,-18.7069,-0.000534,0.00886,0.6643,0.6516,0.0126,97.1435,large,10.416,True,da=-18.71km[large]
STARLINK-36715,SSO,phasing,2026-05-04 09:48:42+00:00,2026-05-04 21:09:42+00:00,11.35,6831.473,453.34,0.000699,97.1678,235.9131,97.2507,18.3524,0.000388,-0.0104,0.4606,0.4599,0.0008,89.1076,large,10.26,True,da=+18.35km[large]
STARLINK-34876,SSO,phasing,2026-05-04 10:01:42+00:00,2026-05-04 20:46:42+00:00,10.75,6934.061,555.92,0.001368,97.5212,356.0837,180.6162,-18.7582,-0.000864,0.00761,0.4383,0.4383,-0.0001,-93.8209,large,10.255,True,da=-18.76km[large]
STARLINK-36792,SSO,phasing,2026-05-05 09:37:42+00:00,2026-05-05 17:53:42+00:00,8.27,6849.592,471.46,0.001536,97.1711,313.3731,168.9016,-18.3646,0.001523,0.01205,0.3389,0.3357,0.0033,100.0715,large,10.226,True,da=-18.36km[large] | de=+0.00152
