sat_name,norad_id,obj_id,status,inc_shell,i_deg_mean,raan_plane,raan_deg_start,alt_shell,alt_km_start,alt_km_end,net_da_km,e_start,maneuver_class,dv_total_ms,n_large,型號,發射日期,物理尺寸,重量,通訊載荷,動力系統
STARLINK-31718,59556,1261032,Operational,43deg,43.067,1,39.99,operational,481.2,489.3,8.2,0.00064,raising,22.6,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31699,59551,1261039,Operational,43deg,43.069,1,39.68,operational,482.2,482.5,7.43,0.00075,mixed,21.7,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31730,59555,1261031,Operational,43deg,43.069,1,40.15,operational,483,481.1,0.2,0.00034,mixed,20.1,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-5367,55501,1261039,Operational,43deg,43.059,1,36.24,operational,487.7,481,1.86,0.00123,phasing,29.9,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31741,59550,1261039,Operational,43deg,43.071,1,39.44,operational,489.1,488.2,-7.89,0.00127,mixed,27.8,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31723,59553,1261040,Operational,43deg,43.075,1,39.78,operational,489.2,480.4,-3.21,0.00127,mixed,25.1,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31750,59552,1261030,Operational,43deg,43.076,1,39.81,operational,489.6,482.2,-8.75,0.00115,mixed,25.1,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31724,59554,1261035,Operational,43deg,42.982,1,3.8,operational,489.8,484,-8.35,0.00117,lowering,21.8,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31319,59457,1261046,Operational,43deg,43.139,2,87.07,operational,482.8,483,2.77,0.00085,mixed,17.3,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31631,59459,1261033,Operational,43deg,43.146,2,86.85,operational,483,486.6,6.06,0.00089,mixed,23.4,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31622,59456,1261035,Operational,43deg,43.138,3,90.82,operational,480.6,480.6,5.97,0.00073,mixed,24.8,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30952,58405,1261053,Operational,43deg,43.144,3,108.67,operational,480.7,485.2,8.53,0.00053,phasing,25.3,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30906,58408,1261054,Operational,43deg,43.145,3,112.29,operational,480.9,487.1,5.18,0.0007,mixed,25.2,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30964,58402,1261050,Operational,43deg,43.151,3,108.55,operational,482.6,487.6,0.41,0.00082,mixed,18.1,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30925,58406,1261048,Operational,43deg,43.142,3,108.77,operational,484.1,485.8,4.41,0.001,mixed,15.2,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31625,59458,1261035,Operational,43deg,43.147,3,90.66,operational,487.1,486.7,1.33,0.00051,mixed,19.4,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30844,58403,1261049,Operational,43deg,43.152,3,108.89,operational,489.4,481,-8.5,0.00112,lowering,18.2,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-11444,62409,1261103,Operational,43deg,42.976,5,203.38,deployment,362.1,355.8,-0.09,0.00077,phasing,40,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-6083,56109,1261100,Operational,43deg,42.941,5,217.7,operational,480.6,487.9,8.92,0.00068,mixed,23.2,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6075,56102,1261106,Operational,43deg,42.937,5,217.35,operational,481.3,486.5,8.06,0.00062,raising,17.3,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6081,56108,1261058,Operational,43deg,42.933,5,217.38,operational,481.5,481,2.01,0.00063,mixed,15,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6030,56107,1261105,Operational,43deg,42.938,5,217.78,operational,481.7,483.7,7.57,0.00053,mixed,23.5,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
