sat_name,inc_family,maneuver_class,n_trans,alt_start_km,alt_end_km,net_da_km,abs_da_mean,abs_da_max,max_di_deg,dv_total_ms,n_large,n_medium
STARLINK-37442,SSO,mixed,12,329.24,334.45,20.791000000000004,10.933633333333333,18.4097,0.01522,75.284,7,2
STARLINK-37213,SSO,raising,12,374.6,425.3,32.051500000000004,10.439491666666667,18.6506,0.01423,70.813,7,2
STARLINK-37460,SSO,phasing,12,334.25,345.23,-0.7215999999999969,10.377833333333333,22.4317,0.01097,71.481,7,2
STARLINK-36718,SSO,phasing,12,470.37,458.93,-16.006099999999996,10.367508333333335,17.7109,0.01209,69.402,7,0
STARLINK-36715,SSO,phasing,12,471.04,454.97,-9.6658,9.940233333333333,18.7069,0.0104,66.531,5,4
STARLINK-36708,SSO,phasing,12,470.9,464.03,-16.454800000000002,9.275333333333334,18.0408,0.01003,62.067,5,3
STARLINK-36389,SSO,mixed,12,454.85,469.88,-1.8034000000000017,9.26885,17.2242,0.01256,62.038,6,1
STARLINK-36687,SSO,phasing,12,471.79,453.82,-13.881999999999998,9.0726,16.6241,0.00995,60.723,5,3
STARLINK-36773,SSO,phasing,12,471.74,471.85,-17.198500000000003,8.836075000000001,17.3166,0.01217,59.113,5,4
STARLINK-36382,SSO,mixed,12,450.78,469.38,1.9309999999999974,8.6195,17.8955,0.01215,57.743,6,0
STARLINK-36792,SSO,phasing,12,467.49,455.17,-5.798099999999997,8.589891666666668,18.3646,0.01205,57.505,5,1
STARLINK-37471,SSO,phasing,12,325.79,348.33,15.9799,8.546891666666667,20.6205,0.00819,58.885999999999996,4,4
STARLINK-34876,SSO,phasing,12,547.87,539.33,-7.349399999999996,8.31555,18.7582,0.00896,54.64,5,3
STARLINK-36705,SSO,phasing,12,453.52,464.39,11.414700000000002,8.311141666666668,16.9004,0.00961,55.682,4,5
STARLINK-37405,SSO,mixed,12,328.25,337.88,20.940199999999997,8.1884,12.94,0.01086,56.364,6,4
STARLINK-36962,53deg,phasing,12,420.01,449.94,41.8429,8.148808333333333,22.4317,0.03786,54.953,3,6
STARLINK-36385,SSO,mixed,12,453.06,465.01,5.623700000000001,8.126875,18.128,0.01042,54.426,4,3
STARLINK-36811,SSO,phasing,12,468.6,453.9,-4.4039,8.038691666666667,17.6033,0.00892,53.824,5,2
STARLINK-37473,SSO,phasing,12,317.64,336.23,20.225699999999996,7.879258333333333,15.4006,0.00824,54.279,6,2
STARLINK-34548,mid-inc,mixed,12,573.42,561.85,3.4007999999999985,7.633216666666667,14.9711,0.02784,49.926,5,2
STARLINK-37446,SSO,phasing,12,317.5,337.94,27.630899999999997,7.516491666666666,15.0644,0.01244,51.763999999999996,4,4
STARLINK-32018,53deg,mixed,12,481.66,470.34,-1.775999999999998,7.49265,11.8527,0.03608,50.018,3,6
STARLINK-11251,53deg,phasing,12,362.68,359.89,-0.8080999999999972,7.423958333333332,11.436,0.03677,50.845,3,7
STARLINK-36832,SSO,mixed,12,322.2,342.57,26.5091,7.386641666666666,15.2522,0.01208,50.874,4,4
STARLINK-36795,SSO,mixed,12,457.06,463.71,12.331199999999997,7.317533333333333,18.0702,0.01212,49.003,4,3
STARLINK-34019,mid-inc,mixed,12,575.55,570.87,1.9529000000000014,7.3005749999999985,15.1632,0.02465,47.735,1,8
STARLINK-32262,53deg,mixed,12,344.9,353.43,-2.6224999999999987,7.2226083333333335,11.1577,0.03702,49.592,4,4
STARLINK-11204,53deg,phasing,12,366.14,354.44,0.20640000000000036,7.1703,12.507,0.04286,49.108000000000004,3,5
STARLINK-11253,53deg,phasing,12,362.99,364.88,-6.579599999999998,7.018366666666666,10.1291,0.03218,48.058,2,7
STARLINK-36354,SSO,mixed,12,458.97,469.3,13.0201,7.000174999999999,15.8037,0.01043,46.883,4,2
STARLINK-37051,53deg,raising,12,408.85,459.34,59.894800000000004,6.972966666666667,15.8916,0.0392,46.992000000000004,3,4
STARLINK-11206,53deg,phasing,12,366.3,355.63,-1.7020999999999997,6.963408333333334,11.8379,0.03707,47.683,3,5
STARLINK-5841,mid-inc,phasing,12,578.34,577.94,-1.1921000000000024,6.911591666666666,14.2725,0.01977,45.202,3,6
STARLINK-37370,SSO,mixed,12,324.6,343.23,11.476399999999998,6.891749999999999,18.7979,0.01094,47.474,4,3
STARLINK-32045,53deg,mixed,12,481.24,469.49,-5.090999999999999,6.7810999999999995,12.2532,0.03824,45.269,3,5
STARLINK-32001,53deg,mixed,12,480.63,469.43,-2.148699999999998,6.778858333333333,11.9393,0.03656,45.252,3,4
STARLINK-31773,53deg,phasing,12,472.25,480.98,5.737100000000002,6.739441666666667,11.7227,0.03528,44.998,2,7
STARLINK-11207,53deg,mixed,12,354.37,360.73,4.587099999999999,6.728491666666668,12.6422,0.04252,46.079,4,3
STARLINK-37366,SSO,mixed,12,317.11,334.6,26.7315,6.679375,16.1811,0.00976,46.044000000000004,2,4
STARLINK-35464,53deg,mixed,12,460.14,468.76,-2.4452999999999996,6.652758333333334,12.411,0.03894,44.522999999999996,3,4
STARLINK-35131,53deg,phasing,12,470.98,481.11,8.317699999999999,6.6420916666666665,11.852,0.04247,44.336,2,5
STARLINK-36739,SSO,mixed,12,463.37,471.91,-3.542100000000003,6.622808333333334,13.937,0.01006,44.336999999999996,4,3
STARLINK-34826,53deg,mixed,12,481.01,469.56,-9.749400000000001,6.559816666666667,11.9073,0.03962,43.788,5,2
STARLINK-32009,53deg,mixed,12,469.46,481.24,6.199199999999998,6.5514,11.5442,0.03812,43.746,4,3
STARLINK-30283,53deg,phasing,11,474.16,476.45,6.401799999999997,6.549,12.1704,0.04147,40.080999999999996,3,3
STARLINK-5846,mid-inc,mixed,12,566.36,564.28,-4.221,6.544133333333332,16.4732,0.02367,42.783,3,2
STARLINK-32189,53deg,mixed,12,480.39,469.65,-0.7708000000000013,6.505016666666666,11.261,0.04154,43.424,2,6
STARLINK-11241,53deg,phasing,12,363.04,356.27,1.841499999999999,6.5047250000000005,12.3436,0.04334,44.549,1,7
STARLINK-37447,SSO,mixed,12,326.57,333.24,18.030399999999997,6.5034333333333345,16.6537,0.01452,44.762,3,3
STARLINK-36782,SSO,mixed,12,458.07,456.62,2.1803000000000017,6.463425,16.1932,0.0111,43.283,4,0
STARLINK-37029,53deg,mixed,12,412.98,420.89,0.27149999999999963,6.435124999999999,12.0863,0.04385,43.504999999999995,2,6
STARLINK-31706,53deg,mixed,12,473.37,481.24,-2.5387000000000004,6.430125,11.8979,0.03809,42.922,4,3
STARLINK-33860,mid-inc,phasing,12,566.32,561.83,6.538400000000003,6.41355,15.1922,0.02551,41.95,4,2
STARLINK-31772,53deg,mixed,12,470.75,481.74,9.683700000000002,6.388058333333333,12.0016,0.0312,42.658,2,5
STARLINK-37162,53deg,mixed,12,446.19,445.59,-12.0947,6.354491666666667,11.5976,0.04105,42.748999999999995,3,4
STARLINK-5526,mid-inc,phasing,12,571.46,564.71,-1.0216000000000003,6.266316666666666,12.5536,0.01715,40.996,1,7
STARLINK-35035,53deg,mixed,12,479.99,470.89,0.685299999999998,6.252175,11.259,0.03278,41.748,1,7
STARLINK-33946,mid-inc,mixed,12,570.28,571.02,-5.170999999999999,6.2091166666666675,13.7758,0.01887,40.607,1,8
STARLINK-35116,53deg,mixed,12,480.91,469.54,-5.013699999999998,6.181341666666667,10.7569,0.03797,41.26,3,5
STARLINK-32035,53deg,mixed,12,470.4,480.44,5.871899999999998,6.171025,10.7632,0.03771,41.214,2,5
STARLINK-37037,53deg,phasing,12,457.02,468.1,7.978199999999999,6.124033333333334,11.1798,0.03664,41.004,2,5
STARLINK-35418,53deg,mixed,12,470.76,481.51,9.700199999999997,6.119466666666667,11.9613,0.03823,40.857,3,4
STARLINK-34088,mid-inc,phasing,12,568.07,566.66,3.2317,6.102641666666667,15.9774,0.01916,39.906,2,4
STARLINK-30303,53deg,mixed,11,481.82,473.0,-11.5143,6.047845454545453,10.3261,0.0311,37.015,2,4
STARLINK-5873,mid-inc,phasing,12,568.41,569.22,6.2997,6.039575,11.5575,0.01663,39.476,2,5
STARLINK-35031,53deg,phasing,11,464.4,456.91,3.9128000000000007,6.03250909090909,11.8656,0.03871,37.019999999999996,2,4
STARLINK-32190,53deg,mixed,12,473.22,475.0,8.3139,5.9664583333333345,10.5754,0.03221,39.836999999999996,1,7
STARLINK-31613,53deg,mixed,12,473.6,470.19,6.643500000000001,5.919391666666667,11.7248,0.03776,39.53,4,3
STARLINK-37042,53deg,phasing,12,445.64,445.04,-6.2391,5.8990583333333335,12.2466,0.04472,39.689,3,4
STARLINK-30916,53deg,mixed,11,459.54,469.25,-0.9654000000000007,5.865745454545455,10.6704,0.03661,35.992,1,5
STARLINK-11444,53deg,phasing,12,362.14,355.78,-0.0887999999999991,5.8416500000000005,9.2026,0.04457,40.016999999999996,0,7
STARLINK-35336,53deg,mixed,12,471.9,481.68,0.8094999999999981,5.833308333333332,11.367,0.0382,38.932,1,6
STARLINK-34760,53deg,phasing,12,476.3,470.4,-3.5776,5.817083333333334,12.3171,0.03999,38.84,3,4
STARLINK-32015,53deg,mixed,12,478.1,470.25,2.7503999999999973,5.770833333333333,11.402,0.04024,38.53,3,2
STARLINK-34515,mid-inc,mixed,12,577.83,563.78,0.6763000000000012,5.755108333333333,15.0948,0.02742,37.629,3,1
STARLINK-32194,53deg,mixed,12,479.87,469.66,-8.538599999999999,5.704999999999999,11.7429,0.04187,38.079,1,6
STARLINK-30913,53deg,mixed,12,457.81,460.49,-0.20640000000000125,5.6383833333333335,11.2174,0.03941,37.749,1,5
STARLINK-32182,53deg,mixed,12,481.06,469.46,-4.147099999999998,5.618075,10.2769,0.03671,37.515,2,4
STARLINK-36702,SSO,mixed,12,459.6,465.51,-2.9083000000000006,5.602325,16.82,0.0094,37.532,1,5
STARLINK-34823,53deg,mixed,12,473.38,478.9,-3.634999999999998,5.599166666666666,9.157,0.0309,37.377,0,6
STARLINK-31954,53deg,mixed,12,477.37,474.77,-6.062099999999999,5.562825,11.2508,0.04044,37.143,3,2
STARLINK-35290,53deg,phasing,12,472.48,475.86,8.202900000000003,5.553875000000001,12.094,0.04386,37.08,2,3
STARLINK-11205,53deg,mixed,12,365.17,353.83,0.8752999999999993,5.520458333333334,12.214,0.04236,37.823,1,7
STARLINK-34030,mid-inc,phasing,12,568.38,567.93,3.201199999999998,5.516183333333334,16.2839,0.01965,36.07,2,2
STARLINK-34800,53deg,phasing,12,474.56,478.64,4.575700000000001,5.499524999999999,10.7694,0.03745,36.717,3,2
