衛星名稱,NORAD ID,軌道,型號,發射日期,物理尺寸,重量,通訊載荷,動力系統
STARLINK-31718,59556,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31699,59551,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31730,59555,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-5367,55501,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31741,59550,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31723,59553,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31750,59552,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31724,59554,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31319,59457,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31631,59459,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31622,59456,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30952,58405,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30906,58408,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30964,58402,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30925,58406,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31625,59458,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30844,58403,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-11444,62409,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-6083,56109,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6075,56102,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6081,56108,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6030,56107,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6096,56103,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6076,56100,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6062,56104,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6095,56101,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6066,56105,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30837,58212,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30813,58213,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30835,58219,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30846,58210,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30818,58217,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30838,58211,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30794,58218,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30851,58215,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30805,58214,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31156,58743,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31557,59357,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30201,57301,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31042,58739,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31101,58737,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30233,57302,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-32660,62205,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30236,57300,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
