norad_id,sat_name,center_epoch,window_start,window_end,label_binary,label_severity,label_maneuver_class,inc_family,da_km_meme,label_source,model_version,alt_km,inc_deg,ecc,inc_family_enc,f107,da_1d_km,di_1d_deg,de_1d,draan_res_1d_deg,da_rate_1d_km_h,di_rate_1d_deg_h,draan_res_rate_1d_deg_h,da_3d_km,di_3d_deg,de_3d,draan_res_3d_deg,da_rate_3d_km_h,di_rate_3d_deg_h,draan_res_rate_3d_deg_h,da_7d_km,di_7d_deg,de_7d,draan_res_7d_deg,da_rate_7d_km_h,di_rate_7d_deg_h,draan_res_rate_7d_deg_h,da_std_7d,da_abs_max_7d,da_abs_mean_7d,n_tle_7d,dv_intrack_1d_ms,dv_crosstrack_1d_ms
60931,STARLINK-11204,2026-05-02T10:54:42+00:00,2026-04-25T10:54:42+00:00,2026-05-02T10:54:42+00:00,1,large,phasing,53deg,-11.4376,meme_ephemeris,v1.0-meme-gt-plan-a,359.75,53.1584,0.000109,1,163.0,0.0432,0.0005,2.7e-05,0.0014,0.00209,2.4e-05,6.7e-05,0.0181,-0.0008,-2.2e-05,0.0007,0.00024,-1.1e-05,1e-05,-0.0171,-0.0004,-9e-06,0.0039,-0.00012,-3e-06,2.7e-05,0.0231,0.0532,0.0169,23,0.025,0.165
60931,STARLINK-11204,2026-05-02T18:58:42+00:00,2026-04-25T18:58:42+00:00,2026-05-02T18:58:42+00:00,1,medium,phasing,53deg,8.8919,meme_ephemeris,v1.0-meme-gt-plan-a,359.73,53.1589,0.000153,1,163.0,0.0207,0.001,7.1e-05,-3.7627,0.00072,3.5e-05,-0.130995,0.0246,-0.0009,1.9e-05,-3.7639,0.00036,-1.3e-05,-0.054984,-0.0396,0.0001,3.5e-05,-3.7602,-0.00026,1e-06,-0.024413,0.0231,0.0532,0.0169,23,0.012,404.239
60931,STARLINK-11204,2026-05-03T03:02:42+00:00,2026-04-26T03:02:42+00:00,2026-05-03T03:02:42+00:00,1,medium,phasing,53deg,-5.7879,meme_ephemeris,v1.0-meme-gt-plan-a,359.74,53.1598,0.000124,1,144.5,-0.0094,0.0014,1.5e-05,0.0019,-0.00038,5.7e-05,7.7e-05,-0.0155,0.0005,-1e-06,0.0012,-0.00022,7e-06,1.7e-05,-0.0266,0.001,6e-06,0.0058,-0.00016,6e-06,3.6e-05,0.0223,0.0532,0.0163,26,0.005,0.277
60931,STARLINK-11204,2026-05-03T11:05:42+00:00,2026-04-26T11:05:42+00:00,2026-05-03T11:05:42+00:00,1,small,phasing,53deg,3.0647,meme_ephemeris,v1.0-meme-gt-plan-a,359.73,53.16,0.00012,1,144.5,-0.0154,0.0016,1.1e-05,-1.567,-0.00047,4.9e-05,-0.048043,0.015,0.0032,1.1e-05,-1.5647,0.0002,4.2e-05,-0.020751,-0.0058,0.0012,-1.1e-05,-1.5653,-4e-05,7e-06,-0.009633,0.0212,0.0532,0.0147,27,0.009,168.35
60931,STARLINK-11204,2026-05-03T19:08:42+00:00,2026-04-26T19:08:42+00:00,2026-05-03T19:08:42+00:00,1,medium,phasing,53deg,5.3048,meme_ephemeris,v1.0-meme-gt-plan-a,359.73,53.16,0.00012,1,144.5,0.0072,0.0011,-3.3e-05,-0.0004,0.00032,4.9e-05,-1.7e-05,0.0356,0.0014,-1.1e-05,0.0048,0.00056,2.2e-05,7.6e-05,-0.0418,0.0021,8e-06,0.0047,-0.00026,1.3e-05,3e-05,0.02,0.0532,0.0135,27,0.004,0.154
60931,STARLINK-11204,2026-05-04T11:02:42+00:00,2026-04-27T11:02:42+00:00,2026-05-04T11:02:42+00:00,1,large,phasing,53deg,-12.507,meme_ephemeris,v1.0-meme-gt-plan-a,359.68,53.16,0.000121,1,139.6,-0.0521,0.0,2e-06,0.0025,-0.00243,0.0,0.000119,-0.0242,0.0021,3.9e-05,0.0065,-0.00035,3.1e-05,9.5e-05,-0.0571,0.0021,7e-06,0.007,-0.00035,1.3e-05,4.3e-05,0.0228,0.0532,0.0152,25,0.03,0.269
60931,STARLINK-11204,2026-05-04T19:48:42+00:00,2026-04-27T19:48:42+00:00,2026-05-04T19:48:42+00:00,1,small,phasing,53deg,4.1499,meme_ephemeris,v1.0-meme-gt-plan-a,359.72,53.1595,0.000143,1,139.6,-0.0143,-0.0005,2.3e-05,-4.3916,-0.00047,-1.7e-05,-0.145477,0.0136,0.0016,6.1e-05,-4.3876,0.00018,2.1e-05,-0.056572,-0.034,0.0012,3.7e-05,-4.3855,-0.00021,7e-06,-0.026634,0.023,0.0532,0.0153,24,0.008,471.808
60931,STARLINK-11204,2026-05-05T03:17:42+00:00,2026-04-28T03:17:42+00:00,2026-05-05T03:17:42+00:00,1,small,phasing,53deg,-3.2669,meme_ephemeris,v1.0-meme-gt-plan-a,359.72,53.1595,0.000143,1,126.2,0.0378,-0.0005,2.1e-05,0.0009,0.00158,-2.1e-05,3.6e-05,-0.0296,0.0011,3.4e-05,0.006,-0.00041,1.5e-05,8.3e-05,-0.0551,0.0008,7.2e-05,0.0088,-0.00033,5e-06,5.3e-05,0.024,0.0532,0.016,24,0.022,0.118
60931,STARLINK-11204,2026-05-05T11:08:42+00:00,2026-04-28T11:08:42+00:00,2026-05-05T11:08:42+00:00,1,medium,phasing,53deg,9.8117,meme_ephemeris,v1.0-meme-gt-plan-a,359.69,53.1582,0.000142,1,126.2,0.0115,-0.0018,2.1e-05,-2.5096,0.00036,-5.7e-05,-0.078998,-0.056,-0.0002,3.3e-05,-2.5045,-0.00069,-2e-06,-0.031047,-0.0494,0.0001,2.2e-05,-2.5047,-0.0003,1e-06,-0.015349,0.0242,0.0532,0.016,22,0.007,269.613
60931,STARLINK-11204,2026-05-05T19:00:42+00:00,2026-04-28T19:00:42+00:00,2026-05-05T19:00:42+00:00,1,medium,phasing,53deg,-8.3789,meme_ephemeris,v1.0-meme-gt-plan-a,359.67,53.1568,0.000117,1,126.2,-0.0466,-0.0027,-2.6e-05,-1.2568,-0.00255,-0.000148,-0.068896,-0.0537,-0.0021,-3.6e-05,-1.2538,-0.00076,-3e-05,-0.017861,-0.0568,-0.0019,-3e-06,-1.2501,-0.00036,-1.2e-05,-0.007871,0.0247,0.0532,0.0166,22,0.027,135.019
