norad_id,sat_name,propulsion_class,mass_kg,label_binary,label_mw,behavior,label_source,model_version,alt_km,inc_deg,ecc,inc_family_enc,bstar_mean,bstar_std,net_da_km,max_da_km,da_std,da_abs_mean,max_di_deg,max_draan_res_deg,neg_streak,total_drop_km,monotone_decay,n_transitions,n_flagged,flag_rate,burn_freq_per_day,n_windows_flagged,n_tle,mean_tle_gap_h,max_tle_gap_h,dv_net_ms
44714,STARLINK 1008,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,427.53,53.1543,8.1e-05,1,0.0004136,0.00030957,-3.656,0.349,0.0726,0.0478,0.001,0.0014,1,3.656,0,77,0,0.0,0.0,0,78,8.62,26.36,2.056
44718,STARLINK 1012,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,427.07,53.1582,2e-05,1,0.0004402,0.00031662,-3.936,0.214,0.0399,0.0331,0.0004,0.001,0,3.936,0,119,0,0.0,0.0,0,120,5.71,24.81,2.213
44723,STARLINK 1017,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,479.9,53.0514,0.000252,1,0.0011503,0.00038413,-5.703,0.381,0.0847,0.0828,0.002,0.0033,1,5.703,0,69,0,0.0,0.0,0,70,9.7,29.8,3.17
44724,STARLINK 1019,Electric_EP,227.0,0,0,DragMakeup,tle_annotation_v1,v1.0-tle-annotation-plan-b,257.78,53.0328,0.001068,1,0.0006024,0.00017709,-119.402,15.816,3.0224,2.5219,0.0046,0.0117,16,119.402,1,48,19,0.3958,0.6333,2,49,6.58,17.91,69.727
44725,STARLINK 1020,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,418.9,53.1598,0.000111,1,0.0010672,0.00034309,-10.649,0.571,0.1549,0.1408,0.003,0.0043,1,10.649,0,76,0,0.0,0.0,0,77,9.01,30.94,5.999
44741,STARLINK 1036,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,371.53,53.0439,0.000324,1,0.0004093,9.894e-05,-6.897,0.356,0.0867,0.0932,0.0012,0.002,1,6.897,0,74,0,0.0,0.0,0,75,9.02,33.68,3.926
44744,STARLINK 1039,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,487.87,53.059,8.7e-05,1,0.0011784,0.00034352,-5.536,0.293,0.0806,0.0725,0.003,0.0054,0,5.536,0,77,0,0.0,0.0,0,78,8.89,39.27,3.071
44747,STARLINK 1042,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,409.29,53.0423,0.000224,1,0.0003158,9.425e-05,-3.069,0.119,0.0351,0.0374,0.0009,0.0013,0,3.069,0,87,0,0.0,0.0,0,88,7.67,24.71,1.733
44748,STARLINK 1043,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,395.43,53.0509,0.000159,1,0.000962,0.00275165,-12.661,2.597,0.3843,0.1597,0.0015,0.0046,6,12.661,1,85,1,0.0118,0.0333,1,86,7.93,26.18,7.17
44751,STARLINK 1046,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,415.7,53.0515,0.00026,1,0.0009956,0.00028294,-9.937,0.46,0.1325,0.1261,0.0054,0.0026,1,9.937,0,79,0,0.0,0.0,0,80,8.57,34.0,5.602
