file,year,month,size_kb
2024_01.parquet,2024,1,2271
2024_02.parquet,2024,2,2312
2024_03.parquet,2024,3,2255
2024_04.parquet,2024,4,2268
2024_05.parquet,2024,5,2332
2024_06.parquet,2024,6,2140
2024_07.parquet,2024,7,2449
2024_08.parquet,2024,8,2214
2024_09.parquet,2024,9,2413
2024_10.parquet,2024,10,2382
2024_11.parquet,2024,11,2614
2024_12.parquet,2024,12,2788
2025_01.parquet,2025,1,2745
2025_02.parquet,2025,2,2726
2025_03.parquet,2025,3,3037
2025_04.parquet,2025,4,2627
2025_05.parquet,2025,5,2818
2025_06.parquet,2025,6,2908
2025_07.parquet,2025,7,3106
2025_08.parquet,2025,8,2574
2025_09.parquet,2025,9,1994
2025_10.parquet,2025,10,2916
2025_11.parquet,2025,11,2702
2025_12.parquet,2025,12,3334
2026_01.parquet,2026,1,3177
2026_02.parquet,2026,2,3594
2026_03.parquet,2026,3,3295
2026_04.parquet,2026,4,2585
2026_05.parquet,2026,5,3483
