ids_id,name,norad,status,ptype,epoch_utc,epoch_tai,win_start_tai,win_end_tai,burn_idx,n_burns,dur_s,dv_radial,dv_along,dv_cross,dv_mag,da_km,di_deg,da_sigma,sigma_km,severity,tle_visible_50,incl_flag
JASO1,Jason-1,26997,retired 2013,007,2001-12-11T13:08:03.789,2001-12-11T13:08:39.789,2001-12-11T13:08:00,2001-12-11T15:57:00,1,2,4.518,0.000000,0.018640,0.000000,0.018640,0.040009,0.000000,0.80,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2001-12-11T15:56:22.867,2001-12-11T15:56:58.867,2001-12-11T13:08:00,2001-12-11T15:57:00,2,2,4.562,0.000000,0.018640,0.000000,0.018640,0.040009,0.000000,0.80,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2001-12-13T21:16:45.987,2001-12-13T21:17:21.987,2001-12-13T21:17:00,2001-12-14T00:06:00,1,2,4.532,0.000000,0.018640,0.000000,0.018640,0.040009,0.000000,0.80,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2001-12-14T00:05:04.654,2001-12-14T00:05:40.654,2001-12-13T21:17:00,2001-12-14T00:06:00,2,2,4.575,0.000000,0.018640,0.000000,0.018640,0.040009,0.000000,0.80,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2001-12-17T07:38:02.964,2001-12-17T07:38:38.964,2001-12-17T07:35:00,2001-12-17T10:31:00,1,2,301.078,0.000000,2.429750,0.000000,2.429750,5.215260,0.000000,104.31,0.05,medium,1,0
JASO1,Jason-1,26997,retired 2013,007,2001-12-17T10:29:41.979,2001-12-17T10:30:17.979,2001-12-17T07:35:00,2001-12-17T10:31:00,2,2,102.955,0.000000,0.798550,0.000000,0.798550,1.714022,0.000000,34.28,0.05,small,1,0
JASO1,Jason-1,26997,retired 2013,007,2001-12-20T06:46:42.350,2001-12-20T06:47:18.350,2001-12-20T06:45:00,2001-12-20T09:39:00,1,2,218.987,0.000000,1.589810,0.000000,1.589810,3.412397,0.000000,68.25,0.05,small,1,0
JASO1,Jason-1,26997,retired 2013,007,2001-12-20T09:36:32.009,2001-12-20T09:37:08.009,2001-12-20T06:45:00,2001-12-20T09:39:00,2,2,199.686,0.000000,1.399330,0.000000,1.399330,3.003547,0.000000,60.07,0.05,small,1,0
JASO1,Jason-1,26997,retired 2013,007,2002-01-10T01:49:45.806,2002-01-10T01:50:21.806,2002-01-10T01:49:00,2002-01-10T04:40:00,1,2,89.061,0.000000,-0.624450,0.000000,0.624450,-1.340331,0.000000,26.81,0.05,small,1,0
JASO1,Jason-1,26997,retired 2013,007,2002-01-10T04:38:29.303,2002-01-10T04:39:05.303,2002-01-10T01:49:00,2002-01-10T04:40:00,2,2,90.742,0.000000,-0.624450,0.000000,0.624450,-1.340331,0.000000,26.81,0.05,small,1,0
JASO1,Jason-1,26997,retired 2013,007,2002-01-13T01:03:33.042,2002-01-13T01:04:09.042,2002-01-13T01:03:00,2002-01-13T03:53:00,1,2,3.038,0.000000,-0.009780,0.000000,0.009780,-0.020992,0.000000,0.42,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2002-01-13T03:52:11.307,2002-01-13T03:52:47.307,2002-01-13T01:03:00,2002-01-13T03:53:00,2,2,3.062,0.000000,-0.009780,0.000000,0.009780,-0.020992,0.000000,0.42,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2002-02-04T00:44:50.347,2002-02-04T00:45:26.347,2002-02-04T00:45:00,2002-02-04T03:34:00,1,2,1.198,0.000000,0.003920,0.000000,0.003920,0.008414,0.000000,0.17,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2002-02-04T01:41:03.821,2002-02-04T01:41:39.821,2002-02-04T00:45:00,2002-02-04T03:34:00,2,2,1.207,0.000000,0.003920,0.000000,0.003920,0.008414,0.000000,0.17,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2002-03-05T18:40:24.247,2002-03-05T18:41:00.247,2002-03-05T18:40:00,2002-03-05T19:37:00,1,2,1.487,0.000000,0.004860,0.000000,0.004860,0.010432,0.000000,0.21,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2002-03-05T19:36:37.656,2002-03-05T19:37:13.656,2002-03-05T18:40:00,2002-03-05T19:37:00,2,2,1.499,0.000000,0.004860,0.000000,0.004860,0.010432,0.000000,0.21,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2002-05-14T04:30:05.140,2002-05-14T04:30:41.140,2002-05-14T04:30:00,2002-05-14T05:27:00,1,2,1.431,0.000000,0.004620,0.000000,0.004620,0.009916,0.000000,0.20,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2002-05-14T05:26:18.419,2002-05-14T05:26:54.419,2002-05-14T04:30:00,2002-05-14T05:27:00,2,2,1.443,0.000000,0.004620,0.000000,0.004620,0.009916,0.000000,0.20,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2002-07-02T18:22:43.177,2002-07-02T18:23:19.177,2002-07-02T18:23:00,2002-07-02T19:20:00,1,2,1.026,0.000000,0.003320,0.000000,0.003320,0.007126,0.000000,0.14,0.05,below-small,0,0
JASO1,Jason-1,26997,retired 2013,007,2002-07-02T19:18:56.597,2002-07-02T19:19:32.597,2002-07-02T18:23:00,2002-07-02T19:20:00,2,2,1.034,0.000000,0.003320,0.000000,0.003320,0.007126,0.000000,0.14,0.05,below-small,0,0
