norad,sat,win_start_tai,win_end_tai,da_km
20436,SPOT-2,1992-09-02T23:48:00,1992-09-03T00:42:00,
20436,SPOT-2,1992-10-08T23:56:00,1992-10-09T00:50:00,
20436,SPOT-2,1992-11-19T23:48:00,1992-11-20T00:42:00,
20436,SPOT-2,1992-12-23T00:54:00,1992-12-23T01:48:00,
20436,SPOT-2,1993-02-25T00:23:00,1993-02-25T01:17:00,
20436,SPOT-2,1993-04-08T00:15:00,1993-04-08T01:09:00,
20436,SPOT-2,1993-06-22T01:13:00,1993-06-22T02:07:00,
20436,SPOT-2,1993-08-10T00:30:00,1993-08-10T01:24:00,
20436,SPOT-2,1993-11-02T23:54:00,1993-11-03T00:48:00,
20436,SPOT-2,1993-12-09T12:40:00,1993-12-09T12:58:00,
20436,SPOT-2,1993-12-14T00:05:00,1993-12-14T00:59:00,
20436,SPOT-2,1993-12-22T00:52:00,1993-12-22T01:46:00,
20436,SPOT-2,1994-01-12T00:48:00,1994-01-12T01:42:00,
20436,SPOT-2,1994-03-02T23:46:00,1994-03-03T00:40:00,
20436,SPOT-2,1994-05-05T01:16:00,1994-05-05T02:09:00,
20436,SPOT-2,1994-06-29T00:17:00,1994-06-29T01:11:00,
20436,SPOT-2,1994-11-17T00:05:00,1994-11-17T01:01:00,
20436,SPOT-2,1995-02-08T12:53:00,1995-02-08T13:04:00,
20436,SPOT-2,1995-02-10T01:10:00,1995-02-10T02:07:00,
20436,SPOT-2,1995-03-01T23:44:00,1995-03-02T00:41:00,
20436,SPOT-2,1995-06-02T00:16:00,1995-06-02T01:13:00,
20436,SPOT-2,1995-08-24T00:21:00,1995-08-24T01:18:00,
20436,SPOT-2,1995-11-23T01:12:00,1995-11-23T02:09:00,
20436,SPOT-2,1996-04-30T00:12:00,1996-04-30T01:09:00,
20436,SPOT-2,1996-09-05T00:50:00,1996-09-05T01:47:00,
20436,SPOT-2,1996-09-21T00:42:00,1996-09-21T01:39:00,
20436,SPOT-2,1996-11-08T00:19:00,1996-11-08T01:16:00,
20436,SPOT-2,1997-04-29T23:53:00,1997-04-30T00:50:00,
20436,SPOT-2,1997-07-03T00:40:00,1997-07-03T01:31:00,
20436,SPOT-2,1997-07-23T20:00:00,1997-07-23T20:52:00,
20436,SPOT-2,1997-07-24T19:30:00,1997-07-24T20:21:00,
20436,SPOT-2,1997-08-04T14:00:00,1997-08-04T14:51:00,
20436,SPOT-2,1997-10-31T00:32:00,1997-10-31T01:23:00,
20436,SPOT-2,1997-12-21T00:51:00,1997-12-21T01:42:00,
20436,SPOT-2,1998-04-28T12:48:00,1998-04-28T13:15:00,
20436,SPOT-2,1998-06-28T00:16:00,1998-06-28T01:07:00,
20436,SPOT-2,1998-08-19T23:57:00,1998-08-20T00:48:00,
20436,SPOT-2,1998-10-03T00:52:00,1998-10-03T01:43:00,
20436,SPOT-2,1998-11-21T23:50:00,1998-11-22T00:41:00,
20436,SPOT-2,1999-01-28T00:16:00,1999-01-28T01:07:00,
20436,SPOT-2,1999-03-20T00:22:00,1999-03-20T01:13:00,
20436,SPOT-2,1999-05-11T00:22:00,1999-05-11T01:13:00,
20436,SPOT-2,1999-06-21T00:42:00,1999-06-21T01:33:00,
20436,SPOT-2,1999-08-20T01:20:00,1999-08-20T02:11:00,
20436,SPOT-2,1999-10-16T01:24:00,1999-10-16T02:15:00,
20436,SPOT-2,1999-11-14T00:25:00,1999-11-14T01:16:00,
20436,SPOT-2,1999-12-04T00:41:00,1999-12-04T01:32:00,
20436,SPOT-2,2000-01-25T00:40:00,2000-01-25T01:31:00,
20436,SPOT-2,2000-03-06T00:51:00,2000-03-06T01:42:00,
20436,SPOT-2,2000-04-05T01:14:00,2000-04-05T02:05:00,
20436,SPOT-2,2000-05-10T12:57:00,2000-05-10T13:29:00,
20436,SPOT-2,2000-05-12T01:02:00,2000-05-12T01:53:00,
20436,SPOT-2,2000-05-22T01:10:00,2000-05-22T02:01:00,
20436,SPOT-2,2000-05-30T00:15:00,2000-05-30T01:07:00,
20436,SPOT-2,2000-07-01T00:00:00,2000-07-01T00:51:00,
20436,SPOT-2,2000-07-29T01:03:00,2000-07-29T01:54:00,
20436,SPOT-2,2000-09-08T01:15:00,2000-09-08T02:06:00,
20436,SPOT-2,2000-10-22T00:29:00,2000-10-22T01:20:00,
20436,SPOT-2,2000-11-17T00:29:00,2000-11-17T01:20:00,
20436,SPOT-2,2000-12-18T00:33:00,2000-12-18T01:24:00,
20436,SPOT-2,2001-01-19T23:58:00,2001-01-20T00:49:00,
20436,SPOT-2,2001-03-07T00:14:00,2001-03-07T01:05:00,
20436,SPOT-2,2001-04-04T01:16:00,2001-04-04T02:07:00,
20436,SPOT-2,2001-05-14T00:06:00,2001-05-14T00:57:00,
20436,SPOT-2,2001-07-03T00:45:00,2001-07-03T01:36:00,
20436,SPOT-2,2001-08-31T00:09:00,2001-08-31T01:00:00,
20436,SPOT-2,2001-10-06T00:17:00,2001-10-06T01:08:00,
20436,SPOT-2,2001-11-01T00:16:00,2001-11-01T01:08:00,
20436,SPOT-2,2001-11-22T00:12:00,2001-11-22T01:04:00,
20436,SPOT-2,2001-12-13T13:09:00,2001-12-13T13:35:00,
20436,SPOT-2,2001-12-16T02:16:00,2001-12-16T03:07:00,
20436,SPOT-2,2002-01-04T01:26:00,2002-01-04T02:18:00,
20436,SPOT-2,2002-01-26T01:03:00,2002-01-26T01:54:00,
20436,SPOT-2,2002-02-20T01:23:00,2002-02-20T02:14:00,
20436,SPOT-2,2002-03-21T00:25:00,2002-03-21T01:16:00,
20436,SPOT-2,2002-04-29T01:15:00,2002-04-29T02:07:00,
20436,SPOT-2,2002-06-07T00:25:00,2002-06-07T01:16:00,
20436,SPOT-2,2002-08-02T00:48:00,2002-08-02T01:40:00,
20436,SPOT-2,2002-09-18T00:45:00,2002-09-18T01:36:00,
20436,SPOT-2,2002-10-31T23:58:00,2002-11-01T00:49:00,
20436,SPOT-2,2002-12-11T00:29:00,2002-12-11T01:20:00,
20436,SPOT-2,2003-01-20T01:00:00,2003-01-20T01:51:00,
20436,SPOT-2,2003-03-24T00:47:00,2003-03-24T01:38:00,
20436,SPOT-2,2003-05-07T00:00:00,2003-05-07T00:51:00,
20436,SPOT-2,2003-05-22T13:12:00,2003-05-22T13:39:00,
20436,SPOT-2,2003-05-25T00:54:00,2003-05-25T01:46:00,
20436,SPOT-2,2003-06-21T00:35:00,2003-06-21T01:26:00,
20436,SPOT-2,2003-08-20T01:22:00,2003-08-20T02:13:00,
20436,SPOT-2,2003-11-06T01:23:00,2003-11-06T02:14:00,
20436,SPOT-2,2003-11-22T01:15:00,2003-11-22T02:06:00,
20436,SPOT-2,2003-12-29T01:03:00,2003-12-29T01:54:00,
20436,SPOT-2,2004-05-06T01:22:00,2004-05-06T02:13:00,
20436,SPOT-2,2004-06-26T00:00:00,2004-06-26T00:51:00,
20436,SPOT-2,2004-08-16T23:59:00,2004-08-17T00:50:00,
20436,SPOT-2,2004-09-16T00:22:00,2004-09-16T01:14:00,
20436,SPOT-2,2004-11-18T23:50:00,2004-11-19T00:41:00,
20436,SPOT-2,2005-02-10T12:52:00,2005-02-10T13:21:00,
20436,SPOT-2,2005-02-13T00:35:00,2005-02-13T01:27:00,
20436,SPOT-2,2005-03-08T12:53:00,2005-03-08T13:20:00,
20436,SPOT-2,2005-03-12T00:16:00,2005-03-12T01:07:00,
20436,SPOT-2,2005-06-13T00:30:00,2005-06-13T01:21:00,
20436,SPOT-2,2005-09-02T01:14:00,2005-09-02T02:05:00,
20436,SPOT-2,2006-01-23T00:25:00,2006-01-23T01:16:00,
20436,SPOT-2,2006-03-14T01:05:00,2006-03-14T01:56:00,
20436,SPOT-2,2006-05-13T00:10:00,2006-05-13T01:01:00,
20436,SPOT-2,2006-07-30T00:10:00,2006-07-30T01:01:00,
20436,SPOT-2,2006-09-23T00:53:00,2006-09-23T01:44:00,
20436,SPOT-2,2006-10-18T01:13:00,2006-10-18T02:04:00,
20436,SPOT-2,2006-12-20T01:00:00,2006-12-20T01:51:00,
20436,SPOT-2,2007-02-05T00:56:00,2007-02-05T01:47:00,
20436,SPOT-2,2007-05-27T00:20:00,2007-05-27T01:11:00,
20436,SPOT-2,2007-09-19T00:06:00,2007-09-19T00:57:00,
20436,SPOT-2,2008-04-13T00:21:00,2008-04-13T01:12:00,
20436,SPOT-2,2008-04-28T00:32:00,2008-04-28T01:23:00,
20436,SPOT-2,2008-10-29T12:46:00,2008-10-29T13:15:00,
20436,SPOT-2,2008-11-01T12:20:00,2008-11-01T13:11:00,
20436,SPOT-2,2008-12-11T01:00:00,2008-12-11T01:51:00,
20436,SPOT-2,2009-03-23T23:36:00,2009-03-24T00:27:00,
20436,SPOT-2,2009-05-19T11:20:00,2009-05-19T12:11:00,
20436,SPOT-2,2009-07-16T11:15:00,2009-07-16T12:16:00,
20436,SPOT-2,2009-07-20T20:42:00,2009-07-20T20:59:00,
20436,SPOT-2,2009-07-21T20:01:00,2009-07-21T20:18:00,
20436,SPOT-2,2009-07-22T21:10:00,2009-07-22T21:27:00,
20436,SPOT-2,2009-07-23T20:34:00,2009-07-23T20:51:00,
20436,SPOT-2,2009-07-24T21:34:00,2009-07-24T21:52:00,
20436,SPOT-2,2009-07-25T20:52:00,2009-07-25T21:08:00,
20436,SPOT-2,2009-07-27T20:57:00,2009-07-27T21:19:00,
20436,SPOT-2,2009-07-28T20:05:00,2009-07-28T20:28:00,
20436,SPOT-2,2009-07-29T20:41:00,2009-07-29T21:12:00,
22823,SPOT-3,1993-10-15T00:17:00,1993-10-15T01:11:00,
22823,SPOT-3,1993-12-07T23:38:00,1993-12-08T00:32:00,
22823,SPOT-3,1994-02-17T00:14:00,1994-02-17T01:08:00,
22823,SPOT-3,1994-05-04T00:53:00,1994-05-04T01:47:00,
22823,SPOT-3,1994-06-22T23:50:00,1994-06-23T00:44:00,
22823,SPOT-3,1994-12-08T00:59:00,1994-12-08T01:56:00,
22823,SPOT-3,1995-02-01T12:45:00,1995-02-01T12:57:00,
22823,SPOT-3,1995-02-03T01:03:00,1995-02-03T02:00:00,
22823,SPOT-3,1995-02-05T20:37:00,1995-02-06T02:00:00,
22823,SPOT-3,1995-03-23T00:40:00,1995-03-23T01:37:00,
22823,SPOT-3,1995-06-08T01:00:00,1995-06-08T01:57:00,
22823,SPOT-3,1995-07-02T05:35:00,1995-07-02T10:55:00,
22823,SPOT-3,1995-07-20T00:52:00,1995-07-20T01:49:00,
22823,SPOT-3,1995-07-31T00:00:00,1995-07-31T13:30:00,
22823,SPOT-3,1995-12-19T00:29:00,1995-12-19T01:26:00,
22823,SPOT-3,1996-02-07T10:00:00,1996-02-07T12:00:00,
22823,SPOT-3,1996-02-20T23:58:00,1996-02-21T00:55:00,
22823,SPOT-3,1996-03-28T00:06:00,1996-03-28T01:03:00,
22823,SPOT-3,1996-05-27T22:14:00,1996-05-28T05:10:00,
22823,SPOT-3,1996-07-18T00:51:00,1996-07-18T01:48:00,
22823,SPOT-3,1996-09-10T12:50:00,1996-09-10T13:10:00,
22823,SPOT-3,1996-09-12T01:16:00,1996-09-12T02:06:00,
22823,SPOT-3,1996-11-06T00:17:00,1996-11-06T01:13:00,
22823,SPOT-3,1996-11-09T12:40:00,1996-11-10T00:55:00,
25260,SPOT-4,1998-03-25T13:59:00,1998-03-25T14:53:00,
