norad,sat,win_start_tai,win_end_tai,da_km
27391,GRACE-A,2002-03-28T10:04:43,2002-03-28T10:06:23,
27391,GRACE-A,2002-04-05T08:51:43,2002-04-05T08:53:23,
27391,GRACE-A,2016-05-18T07:50:23,2016-05-18T07:50:35,
27391,GRACE-A,2016-09-13T09:51:23,2016-09-13T10:42:10,
27391,GRACE-A,2016-09-25T11:24:23,2016-09-25T12:17:05,
27391,GRACE-A,2016-11-08T07:30:23,2016-11-08T08:19:28,
27391,GRACE-A,2016-11-30T05:59:28,2016-11-30T06:46:14,
27391,GRACE-A,2017-02-15T10:15:14,2017-02-15T11:05:29,
27391,GRACE-A,2017-03-13T09:06:46,2017-03-13T09:55:47,
27391,GRACE-A,2017-05-02T06:09:31,2017-05-02T06:57:03,
27391,GRACE-A,2017-07-25T10:39:20,2017-07-25T11:28:43,
27391,GRACE-A,2017-08-08T09:58:24,2017-08-08T10:49:05,
27391,GRACE-A,2017-08-23T09:59:24,2017-08-23T10:48:10,
27391,GRACE-A,2017-09-13T22:00:06,2017-09-14T04:55:48,
27391,GRACE-A,2017-09-14T20:30:06,2017-09-15T04:55:48,
27391,GRACE-A,2017-09-25T23:00:24,2017-09-25T23:55:40,
27391,GRACE-A,2017-10-01T21:30:24,2017-10-01T22:26:06,
27391,GRACE-A,2017-10-02T20:00:24,2017-10-02T22:26:06,
27391,GRACE-A,2017-10-03T20:00:24,2017-10-03T22:25:36,
27391,GRACE-A,2017-10-06T21:00:24,2017-10-06T22:40:36,
27392,GRACE-B,2002-03-20T09:48:43,2002-03-20T10:07:59,
27392,GRACE-B,2002-03-21T10:59:43,2002-03-21T11:21:20,
27392,GRACE-B,2002-03-28T11:42:15,2002-03-28T11:51:00,
27392,GRACE-B,2002-03-28T21:20:52,2002-03-28T21:30:29,
27392,GRACE-B,2002-04-05T10:21:51,2002-04-05T10:25:20,
27392,GRACE-B,2002-04-22T08:54:47,2002-04-22T08:57:53,
27392,GRACE-B,2002-06-06T06:15:17,2002-06-06T06:16:50,
27392,GRACE-B,2002-07-31T13:08:23,2002-07-31T13:10:00,
27392,GRACE-B,2002-09-30T20:22:23,2002-09-30T20:25:13,
27392,GRACE-B,2003-01-30T10:45:13,2003-01-30T10:45:37,
27392,GRACE-B,2003-12-17T12:15:10,2003-12-17T12:15:51,
27392,GRACE-B,2004-04-26T12:47:33,2004-04-26T12:49:04,
27392,GRACE-B,2004-09-29T13:53:09,2004-09-29T13:54:12,
27392,GRACE-B,2005-02-10T11:46:30,2005-02-10T11:47:35,
27392,GRACE-B,2005-04-06T05:49:43,2005-04-06T05:51:52,
27392,GRACE-B,2005-06-07T05:45:33,2005-06-07T05:46:01,
27392,GRACE-B,2005-12-03T05:59:58,2005-12-03T06:11:26,
27392,GRACE-B,2005-12-12T17:06:07,2005-12-12T17:16:18,
27392,GRACE-B,2006-01-11T12:53:13,2006-01-11T12:54:05,
27392,GRACE-B,2007-01-04T11:15:58,2007-01-04T11:17:24,
27392,GRACE-B,2007-09-26T04:11:09,2007-09-26T04:12:37,
27392,GRACE-B,2008-08-13T10:16:53,2008-08-13T10:18:37,
27392,GRACE-B,2009-07-28T13:10:20,2009-07-28T13:11:49,
27392,GRACE-B,2010-05-19T04:45:08,2010-05-19T09:46:31,
27392,GRACE-B,2011-02-08T08:07:01,2011-02-08T08:08:57,
27392,GRACE-B,2011-08-02T08:07:01,2011-08-02T08:08:57,
27392,GRACE-B,2011-08-17T06:37:23,2011-08-17T06:39:23,
27392,GRACE-B,2012-02-28T15:05:23,2012-02-28T15:08:20,
27392,GRACE-B,2012-07-04T07:03:48,2012-07-04T07:05:45,
27392,GRACE-B,2013-03-19T10:45:55,2013-03-19T10:48:29,
27392,GRACE-B,2013-05-07T06:40:33,2013-05-07T06:41:14,
27392,GRACE-B,2013-09-23T10:16:40,2013-09-23T10:19:36,
27392,GRACE-B,2014-06-30T12:25:22,2014-06-30T12:29:36,
27392,GRACE-B,2014-07-28T10:03:26,2014-07-28T10:08:37,
27392,GRACE-B,2014-09-24T05:34:17,2014-09-24T05:34:59,
27392,GRACE-B,2014-12-15T10:51:08,2014-12-15T10:55:15,
27392,GRACE-B,2015-01-15T08:35:29,2015-01-15T08:39:01,
27392,GRACE-B,2015-02-10T07:57:10,2015-02-10T07:58:17,
27392,GRACE-B,2015-05-11T10:46:14,2015-05-11T13:09:01,
27392,GRACE-B,2015-06-02T09:31:23,2015-06-02T09:33:41,
27392,GRACE-B,2015-06-10T09:02:23,2015-06-10T09:06:16,
27392,GRACE-B,2015-11-03T10:58:16,2015-11-03T11:47:53,
27392,GRACE-B,2015-12-02T09:19:10,2015-12-02T10:08:05,
27392,GRACE-B,2016-04-05T11:00:23,2016-04-05T11:49:40,
27392,GRACE-B,2016-05-04T08:40:06,2016-05-04T09:27:52,
43476,GRACE-FO-C,2018-05-24T06:20:08,2018-05-24T06:22:15,
43476,GRACE-FO-C,2018-05-25T23:23:25,2018-05-26T02:40:25,
43476,GRACE-FO-C,2018-06-22T19:57:58,2018-06-22T19:58:47,
43476,GRACE-FO-C,2018-10-22T05:04:04,2018-10-22T05:16:19,
43476,GRACE-FO-C,2021-11-03T04:08:42,2021-11-03T04:38:32,
43476,GRACE-FO-C,2021-11-03T16:19:27,2021-11-03T16:19:58,
43476,GRACE-FO-C,2022-06-01T20:15:07,2022-06-01T20:16:16,
43476,GRACE-FO-C,2022-06-22T03:10:47,2022-06-22T03:40:37,
43476,GRACE-FO-C,2022-08-03T02:30:47,2022-08-03T07:45:37,
43476,GRACE-FO-C,2022-08-21T00:49:33,2022-08-21T00:51:16,
43476,GRACE-FO-C,2022-08-21T16:30:39,2022-08-21T16:32:17,
43476,GRACE-FO-C,2022-10-26T01:15:47,2022-10-26T05:30:37,
43476,GRACE-FO-C,2022-11-22T04:45:47,2022-11-22T05:15:37,
43476,GRACE-FO-C,2024-07-13T02:05:59,2024-07-13T02:09:25,
43476,GRACE-FO-C,2025-06-18T15:27:28,2025-06-18T15:28:37,
43476,GRACE-FO-C,2025-09-26T21:09:33,2025-09-26T21:11:50,
43477,GRACE-FO-D,2018-05-24T10:56:39,2018-05-24T10:58:45,
43477,GRACE-FO-D,2018-05-26T00:58:30,2018-05-26T04:15:19,
43477,GRACE-FO-D,2018-06-22T21:38:06,2018-06-22T21:39:30,
43477,GRACE-FO-D,2019-03-19T13:30:46,2019-03-19T13:31:03,
43477,GRACE-FO-D,2020-09-09T08:15:39,2020-09-09T08:15:44,
43477,GRACE-FO-D,2021-11-03T04:03:12,2021-11-03T04:33:02,
43477,GRACE-FO-D,2022-06-01T21:49:37,2022-06-01T21:50:47,
43477,GRACE-FO-D,2022-06-22T03:11:01,2022-06-22T03:40:24,
43477,GRACE-FO-D,2022-07-07T02:41:59,2022-07-07T02:42:23,
43477,GRACE-FO-D,2022-08-03T02:30:52,2022-08-03T07:45:32,
43477,GRACE-FO-D,2022-08-03T22:00:37,2022-08-03T22:01:05,
43477,GRACE-FO-D,2022-10-26T01:15:52,2022-10-26T05:30:32,
43477,GRACE-FO-D,2022-10-26T16:04:27,2022-10-26T16:04:56,
43477,GRACE-FO-D,2022-11-22T04:45:52,2022-11-22T05:15:32,
43477,GRACE-FO-D,2022-11-22T16:31:17,2022-11-22T16:31:33,
43477,GRACE-FO-D,2023-01-31T06:30:54,2023-01-31T06:31:30,
43477,GRACE-FO-D,2023-06-15T10:22:59,2023-06-15T10:23:03,
43477,GRACE-FO-D,2023-07-27T03:59:33,2023-07-27T04:00:19,
43477,GRACE-FO-D,2023-10-19T00:43:54,2023-10-19T00:45:00,
43477,GRACE-FO-D,2023-12-07T02:45:50,2023-12-07T02:47:04,
43477,GRACE-FO-D,2024-01-04T16:04:32,2024-01-04T16:05:53,
43477,GRACE-FO-D,2024-01-06T10:40:42,2024-01-06T10:41:56,
43477,GRACE-FO-D,2024-02-27T10:19:07,2024-02-27T10:20:17,
43477,GRACE-FO-D,2024-05-15T06:12:31,2024-05-15T06:13:37,
43477,GRACE-FO-D,2024-07-16T03:48:29,2024-07-16T03:52:39,
43477,GRACE-FO-D,2024-09-12T10:14:53,2024-09-12T10:16:17,
43477,GRACE-FO-D,2024-12-04T04:37:30,2024-12-04T04:39:54,
43477,GRACE-FO-D,2024-12-12T11:57:31,2024-12-12T12:00:52,
43477,GRACE-FO-D,2024-12-14T09:18:07,2024-12-14T09:21:40,
43477,GRACE-FO-D,2025-02-11T08:51:11,2025-02-11T08:52:54,
43477,GRACE-FO-D,2025-06-04T03:09:48,2025-06-04T03:11:35,
43477,GRACE-FO-D,2025-06-21T10:37:40,2025-06-21T10:38:54,
43477,GRACE-FO-D,2025-09-30T03:19:18,2025-09-30T04:01:17,
43477,GRACE-FO-D,2025-12-16T02:19:17,2025-12-16T02:20:20,
43477,GRACE-FO-D,2026-03-04T06:32:58,2026-03-04T06:34:08,
43477,GRACE-FO-D,2026-06-23T08:44:49,2026-06-23T08:46:07,
