NORAD_ID,COSPAR_ID,NAME,mean_alt_km
59556,1261032,STARLINK-31718,485.2
59551,1261039,STARLINK-31699,482.4
59555,1261031,STARLINK-31730,482.0
55501,1261039,STARLINK-5367,484.4
59550,1261039,STARLINK-31741,488.6
59553,1261040,STARLINK-31723,484.8
59552,1261030,STARLINK-31750,485.9
59554,1261035,STARLINK-31724,486.9
59457,1261046,STARLINK-31319,482.9
59459,1261033,STARLINK-31631,484.8
59456,1261035,STARLINK-31622,480.6
58405,1261053,STARLINK-30952,483.0
58408,1261054,STARLINK-30906,484.0
58402,1261050,STARLINK-30964,485.1
58406,1261048,STARLINK-30925,485.0
59458,1261035,STARLINK-31625,486.9
58403,1261049,STARLINK-30844,485.2
62409,1261103,STARLINK-11444,359.0
56109,1261100,STARLINK-6083,484.2
56102,1261106,STARLINK-6075,483.9
56108,1261058,STARLINK-6081,481.2
56107,1261105,STARLINK-6030,482.7
56103,1261039,STARLINK-6096,486.1
56100,1261058,STARLINK-6076,487.4
56104,1261101,STARLINK-6062,488.9
56101,1261058,STARLINK-6095,488.2
56105,1261106,STARLINK-6066,491.4
58212,1261046,STARLINK-30837,482.8
58213,1261054,STARLINK-30813,485.3
58219,1261045,STARLINK-30835,483.8
58210,1261051,STARLINK-30846,482.6
58217,1261048,STARLINK-30818,488.2
58211,1261048,STARLINK-30838,488.9
58218,1261052,STARLINK-30794,486.2
58215,1261049,STARLINK-30851,488.8
58214,1261048,STARLINK-30805,485.0
58743,1261046,STARLINK-31156,484.4
59357,1261034,STARLINK-31557,480.9
57301,1261045,STARLINK-30201,484.6
58739,1261046,STARLINK-31042,482.8
58737,1261051,STARLINK-31101,483.4
57302,1261053,STARLINK-30233,487.2
62205,1261033,STARLINK-32660,486.6
57300,1261046,STARLINK-30236,486.0
58745,1261046,STARLINK-31176,484.2
58741,1261044,STARLINK-31148,487.5
58735,1261053,STARLINK-31157,488.2
57294,1261054,STARLINK-30235,486.4
58733,1261045,STARLINK-31164,485.2
62204,1261036,STARLINK-32664,430.9
62607,1261023,STARLINK-32784,449.0
59841,1261030,STARLINK-31852,483.4
59353,1261046,STARLINK-31413,482.8
59359,1261037,STARLINK-31501,480.6
62203,1261031,STARLINK-32665,481.0
59848,1261031,STARLINK-31859,484.8
62601,1261022,STARLINK-32767,481.4
59847,1261039,STARLINK-31889,482.1
62208,1261034,STARLINK-32675,481.3
58243,1261051,STARLINK-30864,481.6
59846,1261038,STARLINK-31922,483.1
62209,1261032,STARLINK-32671,481.6
62605,1261036,STARLINK-32742,484.3
62600,1261030,STARLINK-32747,484.4
59843,1261039,STARLINK-31857,483.6
58251,1261049,STARLINK-30881,482.6
59351,1261037,STARLINK-31555,485.6
59358,1261034,STARLINK-31559,484.6
62201,1261039,STARLINK-32667,483.0
62604,1261038,STARLINK-32710,487.2
62206,1261039,STARLINK-32448,483.5
59845,1261030,STARLINK-31903,487.7
62602,1261018,STARLINK-32769,484.0
59842,1261032,STARLINK-31906,485.1
62202,1261040,STARLINK-32655,488.2
62606,1261026,STARLINK-32783,486.4
59350,1261029,STARLINK-31593,484.2
59355,1261043,STARLINK-31416,488.4
59354,1261044,STARLINK-31422,486.0
59849,1261031,STARLINK-31895,487.2
59356,1261038,STARLINK-31552,486.2
62200,1261033,STARLINK-32647,484.7
59844,1261034,STARLINK-31851,486.0
62603,1261021,STARLINK-32778,489.0
59352,1261034,STARLINK-31561,488.5
62207,1261036,STARLINK-32430,486.2
65881,1260955,STARLINK-35464,464.4
59430,1261032,STARLINK-31772,476.2
65879,1261004,STARLINK-35418,476.2
59436,1261039,STARLINK-31700,475.6
59429,1261032,STARLINK-31773,476.6
59437,1261040,STARLINK-31706,477.3
59431,1261040,STARLINK-31613,471.9
65877,1260950,STARLINK-35462,474.5
59435,1261030,STARLINK-31696,473.7
65875,1261006,STARLINK-34688,472.6
59434,1261033,STARLINK-31580,475.3
59433,1261040,STARLINK-31740,478.3
65880,1261004,STARLINK-35445,474.2
65876,1261019,STARLINK-34438,474.6
65878,1261009,STARLINK-35453,471.1
59432,1261038,STARLINK-31780,476.8
60934,1261101,STARLINK-11237,357.0
60933,1261107,STARLINK-11207,357.5
60930,1261106,STARLINK-11251,361.3
60936,1261107,STARLINK-11241,359.6
60935,1261103,STARLINK-11253,364.0
60932,1261106,STARLINK-11246,358.6
60931,1261107,STARLINK-11204,360.2
68271,1260939,STARLINK-37029,417.0
68267,1260939,STARLINK-37103,419.3
68269,1260938,STARLINK-36962,435.0
68264,1260936,STARLINK-37163,434.6
68268,1260945,STARLINK-36999,449.3
68266,1260937,STARLINK-37042,445.3
68262,1260944,STARLINK-37162,445.9
60314,1261031,STARLINK-32191,475.6
60320,1261038,STARLINK-32199,473.1
68265,1260943,STARLINK-37133,471.0
60318,1261034,STARLINK-32190,474.1
62808,1261017,STARLINK-32848,474.0
68263,1260943,STARLINK-37156,475.4
60316,1261039,STARLINK-32192,474.4
62806,1261018,STARLINK-32883,479.2
68270,1260935,STARLINK-37028,475.8
60315,1261031,STARLINK-32194,474.8
62807,1261026,STARLINK-32886,480.2
60317,1261039,STARLINK-32189,475.0
62809,1261018,STARLINK-32787,478.5
60319,1261037,STARLINK-32182,475.3
58388,1261044,STARLINK-30913,459.2
58395,1261044,STARLINK-30934,458.6
58391,1261054,STARLINK-30916,464.4
58379,1261046,STARLINK-30882,459.9
65882,1261010,STARLINK-35270,460.4
58381,1261049,STARLINK-30923,469.0
65883,1261010,STARLINK-35367,467.2
58385,1261044,STARLINK-30930,465.8
58383,1261045,STARLINK-30921,463.8
58387,1261045,STARLINK-30898,468.4
58393,1261046,STARLINK-30939,468.2
65884,1261007,STARLINK-35384,475.8
58389,1261046,STARLINK-30938,476.0
60104,1261040,STARLINK-32009,475.4
60107,1261039,STARLINK-32035,475.4
60109,1261030,STARLINK-32040,472.0
60108,1261031,STARLINK-32042,473.6
60103,1261034,STARLINK-32013,473.5
60102,1261032,STARLINK-31954,476.1
60111,1261035,STARLINK-32015,474.2
60110,1261040,STARLINK-32001,475.0
60106,1261037,STARLINK-32045,475.4
60105,1261038,STARLINK-32018,476.0
60938,1261038,STARLINK-32262,349.2
65844,1261005,STARLINK-35148,468.4
66009,1261007,STARLINK-35276,474.5
65848,1261003,STARLINK-35308,475.4
66006,1261009,STARLINK-35336,476.8
65846,1261007,STARLINK-35290,474.2
65847,1261003,STARLINK-35262,473.8
65845,1261009,STARLINK-35302,473.4
65849,1261003,STARLINK-35231,474.5
66005,1261005,STARLINK-34849,474.5
66008,1261011,STARLINK-35236,478.5
65843,1261008,STARLINK-35301,475.3
65840,1261007,STARLINK-35364,468.2
66007,1261003,STARLINK-35196,475.4
