norad_id,cospar_id,sat_name,orbit_band,mass_kg,mass_class,platform_class,propulsion_class,propulsion_description,mission_type,mass_source,propulsion_source,mass_confidence,propulsion_confidence,mass_note,propulsion_note,source_code
44714,2019-074B,STARLINK 1008,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44718,2019-074F,STARLINK 1012,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44723,2019-074L,STARLINK 1017,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44724,2019-074M,STARLINK 1019,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44725,2019-074N,STARLINK 1020,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44741,2019-074AE,STARLINK 1036,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44744,2019-074AH,STARLINK 1039,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44747,2019-074AL,STARLINK 1042,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44748,2019-074AM,STARLINK 1043,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44751,2019-074AQ,STARLINK 1046,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44752,2019-074AR,STARLINK 1047,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44753,2019-074AS,STARLINK 1048,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44768,2019-074BH,STARLINK 1063,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44771,2019-074BL,STARLINK 1067,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44772,2019-074BM,STARLINK 1068,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44927,2020-001P,STARLINK-1114,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44930,2020-001S,STARLINK-1123,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44941,2020-001AD,STARLINK-1094,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44949,2020-001AM,STARLINK-1122,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44961,2020-001AZ,STARLINK-1080,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
44968,2020-001BG,STARLINK-1090,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45044,2020-006A,STARLINK-1132,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45047,2020-006D,STARLINK-1131,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45048,2020-006E,STARLINK-1134,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45054,2020-006L,STARLINK-1156,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45057,2020-006P,STARLINK-1159,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45060,2020-006S,STARLINK-1166,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45061,2020-006T,STARLINK-1169,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45062,2020-006U,STARLINK-1171,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45064,2020-006W,STARLINK-1133,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45071,2020-006AD,STARLINK-1167,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45072,2020-006AE,STARLINK-1168,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45074,2020-006AG,STARLINK-1172,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45080,2020-006AN,STARLINK-1153,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45081,2020-006AP,STARLINK-1151,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45087,2020-006AV,STARLINK-1185,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45088,2020-006AW,STARLINK-1183,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45096,2020-006BE,STARLINK-1152,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45098,2020-006BG,STARLINK-1184,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45100,2020-006BJ,STARLINK-1193,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45179,2020-012B,STARLINK-1143,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45183,2020-012F,STARLINK-1202,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45185,2020-012H,STARLINK-1216,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45187,2020-012K,STARLINK-1225,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45189,2020-012M,STARLINK-1230,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45190,2020-012N,STARLINK-1234,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45197,2020-012V,STARLINK-1269,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45198,2020-012W,STARLINK-1154,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45201,2020-012Z,STARLINK-1199,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45206,2020-012AE,STARLINK-1209,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45212,2020-012AL,STARLINK-1231,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45217,2020-012AR,STARLINK-1271,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45222,2020-012AW,STARLINK-1191,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45223,2020-012AX,STARLINK-1212,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
