norad_id,cospar_id,sat_name,orbit_band,mass_kg,mass_class,platform_class,propulsion_class,propulsion_description,mission_type,mass_source,propulsion_source,mass_confidence,propulsion_confidence,mass_note,propulsion_note
22,1959-009A,EXPLORER 7,LEO_450_800,41.5,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 41.5 kg,No propulsion info found across queried sources
29,1960-002B,TIROS 1,LEO_450_800,122.0,50_200kg,Micro,Hybrid/Other,Propulsion mentioned but type unclear: Solid-fuel thrusters for spin stabilization.,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 122 kg,KeepTrack motor: Solid-fuel thrusters for spin stabilization.
45,1960-007A,TRANSIT 2A,LEO_450_800,101.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 101 kg,No propulsion info found across queried sources
46,1960-007B,SOLRAD 1 (GREB),LEO_450_800,11.3,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 11.3 kg,No propulsion info found across queried sources
47,1960-007C,THOR ABLESTAR R/B,LEO_450_800,670.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 670 kg,No propulsion info found across queried sources
116,1961-015A,TRANSIT 4A,LEO_800_1000,78.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 78 kg,No propulsion info found across queried sources
117,1961-015B,SOLRAD 3/INJUN 1,LEO_800_1000,18.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 18 kg,No propulsion info found across queried sources
118,1961-015C,THOR ABLESTAR R/B,LEO_800_1000,670.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 670 kg,No propulsion info found across queried sources
162,1961-017A,TIROS 3,LEO_450_800,129.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 129 kg,KeepTrack motor: Not applicable
226,1962-002A,TIROS 4,LEO_450_800,129.0,50_200kg,Micro,Hybrid/Other,Propulsion mentioned but type unclear: Solid-fuel thrusters for spin rate control,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 129 kg,KeepTrack motor: Solid-fuel thrusters for spin rate control
309,1962-025A,TIROS 5,LEO_450_800,129.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 129 kg,KeepTrack motor: ?
369,1962-039A,FTV 3502,LEO_450_800,50.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 50 kg,No propulsion info found across queried sources
397,1962-047A,TIROS 6,LEO_450_800,127.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 127 kg,No propulsion info found across queried sources
716,1963-054A,TIROS 8,LEO_450_800,120.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 120 kg,KeepTrack motor: ?
727,1964-001A,THOR AGENA D R/B,LEO_800_1000,5.0,<10kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 5 kg,KeepTrack motor: ?
728,1964-001B,GGSE 1 (GGRS),LEO_800_1000,38.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 38 kg,No propulsion info found across queried sources
729,1964-001C,SECOR 1B,LEO_800_1000,18.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 18 kg,KeepTrack motor: ?
