norad_id,sat_name,propulsion_class,behavior,net_da_km,max_da_km,max_di_deg,n_flagged,n_transitions,flag_rate,burn_freq_per_day,monotone_decay,triggers,mean_sma_km,sub_tags
44724,STARLINK 1019,Electric_EP,DragMakeup,-75.06,8.34,0.0046,28,41,0.683,1.333,True,da,6609.2,da_max=8.3km net=-75.1km; monotone_drop=75.1km
45048,STARLINK-1134,Electric_EP,OrbitLowering,-6.72,1.002,0.0005,1,43,0.023,0.048,False,da,6789.7,da_max=1.0km net=-6.7km
45057,STARLINK-1159,Electric_EP,DragMakeup,-94.82,29.821,0.004,13,17,0.765,0.619,True,da,6593.7,da_max=29.8km net=-94.8km; monotone_drop=94.8km
45064,STARLINK-1133,Electric_EP,DragMakeup,-2.91,2.9,0.0022,2,32,0.062,0.095,False,da,6846.4,da_max=2.9km net=-2.9km
45088,STARLINK-1183,Electric_EP,DragMakeup,-2.87,7.532,0.0002,4,47,0.085,0.19,False,da,6846.6,da_max=7.5km net=-2.9km
45187,STARLINK-1225,Electric_EP,PhasingManeuver,-2.8,5.048,0.0002,2,41,0.049,0.095,False,da,6846.6,da_max=5.0km net=-2.8km
45189,STARLINK-1230,Electric_EP,DragMakeup,-2.69,2.411,0.0014,2,34,0.059,0.095,False,da,6846.6,da_max=2.4km net=-2.7km
45201,STARLINK-1199,Electric_EP,DragMakeup,-2.92,4.028,0.0012,4,38,0.105,0.19,False,da,6846.9,da_max=4.0km net=-2.9km
45217,STARLINK-1271,Electric_EP,DragMakeup,-3.19,9.503,0.0022,4,52,0.077,0.19,False,da,6847.2,da_max=9.5km net=-3.2km
45225,STARLINK-1215,Electric_EP,PhasingManeuver,-3.05,6.17,0.0008,2,36,0.056,0.095,False,da,6845.9,da_max=6.2km net=-3.0km
45390,STARLINK-1284,Electric_EP,OrbitLowering,-9.81,2.585,0.0004,3,45,0.067,0.143,False,da,6747.3,da_max=2.6km net=-9.8km
45404,STARLINK-1260,Electric_EP,DragMakeup,-3.0,2.322,0.0005,2,46,0.043,0.095,False,da,6838.7,da_max=2.3km net=-3.0km
45540,STARLINK-1368,Electric_EP,DragMakeup,-2.86,3.557,0.001,2,41,0.049,0.095,False,da,6839.9,da_max=3.6km net=-2.9km
45544,STARLINK-1373,Electric_EP,DragMakeup,-11.43,1.674,0.0004,6,54,0.111,0.286,True,da,6747.7,da_max=1.7km net=-11.4km; monotone_drop=11.4km
45668,STARLINK-1451,Electric_EP,DragMakeup,-1.31,2.845,0.0005,2,36,0.056,0.095,False,da,6905.5,da_max=2.8km net=-1.3km
45674,STARLINK-1457,Electric_EP,DragMakeup,-36.57,2.022,0.0005,8,67,0.119,0.381,True,da,6635.4,da_max=2.0km net=-36.6km; monotone_drop=36.6km
45764,STARLINK-1502,Electric_EP,OrbitLowering,-5.77,1.068,0.0003,1,37,0.027,0.048,False,da,6775.7,da_max=1.1km net=-5.8km
46034,STARLINK-1557,Electric_EP,DragMakeup,-1.75,1.181,0.0001,1,42,0.024,0.048,False,da,6853.4,da_max=1.2km net=-1.8km
46038,STARLINK-1567,Electric_EP,DragMakeup,-86.08,11.212,0.002,19,31,0.613,0.905,True,da,6599.7,da_max=11.2km net=-86.1km; monotone_drop=86.1km
46047,STARLINK-1524,Electric_EP,PhasingManeuver,0.02,9.207,0.002,2,33,0.061,0.095,False,da+de,6848.3,da_max=9.2km net=+0.0km; Δe
46048,STARLINK-1527,Electric_EP,DragMakeup,0.06,4.971,0.0009,2,33,0.061,0.095,False,da,6849.2,da_max=5.0km net=+0.1km
46051,STARLINK-1540,Electric_EP,DragMakeup,0.03,3.493,0.0008,2,37,0.054,0.095,False,da,6853.3,da_max=3.5km net=+0.0km
46052,STARLINK-1541,Electric_EP,DragMakeup,-30.35,1.778,0.0006,12,64,0.188,0.571,True,da,6728.3,da_max=1.8km net=-30.3km; monotone_drop=30.3km
46055,STARLINK-1554,Electric_EP,DragMakeup,-0.01,1.658,0.0024,2,36,0.056,0.095,False,da+de,6848.8,da_max=1.7km net=-0.0km; Δe
46061,STARLINK-1573,Electric_EP,DragMakeup,0.02,1.657,0.0004,2,43,0.047,0.095,False,da,6848.9,da_max=1.7km net=+0.0km
46073,STARLINK-1542,Electric_EP,OrbitLowering,-23.99,2.068,0.0021,8,57,0.14,0.381,False,da,6863.8,da_max=2.1km net=-24.0km
46076,STARLINK-1552,Electric_EP,DragMakeup,-4.47,1.911,0.0014,2,43,0.047,0.095,False,da,6851.9,da_max=1.9km net=-4.5km
46079,STARLINK-1566,Electric_EP,DragMakeup,0.02,3.424,0.0016,2,37,0.054,0.095,False,da,6848.8,da_max=3.4km net=+0.0km
46082,STARLINK-1578,Electric_EP,DragMakeup,-6.95,2.622,0.0248,3,42,0.071,0.143,True,da+di,6850.1,da_max=2.6km net=-7.0km; di_max=0.0248°; monotone_drop=7.0km
46119,STARLINK-1593,Electric_EP,DragMakeup,-80.36,10.52,0.0014,17,20,0.85,0.81,True,da,6592.7,da_max=10.5km net=-80.4km; monotone_drop=80.4km
46128,STARLINK-1622,Electric_EP,OrbitLowering,-7.55,1.013,0.0001,1,37,0.027,0.048,False,da,6721.0,da_max=1.0km net=-7.5km
46130,STARLINK-1624,Electric_EP,OrbitLowering,-29.56,1.343,0.0004,2,64,0.031,0.095,False,da,6669.4,da_max=1.3km net=-29.6km
46159,STARLINK-1595,Electric_EP,OrbitLowering,-13.01,2.283,0.0005,5,56,0.089,0.238,False,da,6746.7,da_max=2.3km net=-13.0km
46168,STARLINK-1627,Electric_EP,OrbitLowering,-30.73,1.45,0.0006,3,63,0.048,0.143,False,da,6656.3,da_max=1.4km net=-30.7km
46328,STARLINK-1686,Electric_EP,OrbitLowering,-23.83,1.013,0.0006,1,64,0.016,0.048,False,da,6671.4,da_max=1.0km net=-23.8km
46335,STARLINK-1727,Electric_EP,DragMakeup,-25.06,1.113,0.0002,1,64,0.016,0.048,True,da,6673.7,da_max=1.1km net=-25.1km; monotone_drop=25.1km
