norad_id,sat_name,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,da_km,de,di_deg,draan_raw_deg,draan_res_deg,da_severity,score,flagged,flag_reason
59280,YUNHAI 2-2A,2024-07-19 08:46:30.342144+00:00,2024-07-29 19:05:58.457472+00:00,250.32,7513.579,1135.44,0.000553,50.0989,156.9535,-335.6927,0.000556,-0.0892,-42.1206,-1.4191,large,335.6927,True,da=-335.69km[large] | di=-0.0892deg | dOmega_res=-1.419deg
59285,YUNHAI 2-2F,2024-10-26 05:56:49.984800+00:00,2024-11-23 19:25:31.162944+00:00,685.48,6844.411,466.27,0.000522,50.096,222.3754,333.4081,4e-05,-0.0846,-123.0332,8.1789,large,333.4081,True,da=+333.41km[large] | di=-0.0846deg | dOmega_res=+8.179deg
59282,YUNHAI 2-2C,2024-10-23 18:06:27.630144+00:00,2024-11-27 15:12:42.597504+00:00,837.1,7507.766,1129.63,0.000975,50.0978,168.8744,-330.0958,-0.0003,-0.0862,-146.1411,-9.8376,large,330.0958,True,da=-330.10km[large] | di=-0.0862deg | dOmega_res=-9.838deg
59284,YUNHAI 2-2E,2024-05-15 12:35:26.253888+00:00,2024-05-29 19:07:13.082880+00:00,342.53,6849.919,471.78,0.000667,50.1012,315.1992,327.9933,0.000451,-0.094,-62.0364,3.4374,large,327.9933,True,da=+327.99km[large] | di=-0.0940deg | dOmega_res=+3.437deg
59283,YUNHAI 2-2D,2024-08-05 15:37:43.052736+00:00,2024-08-16 02:35:05.203104+00:00,250.96,6854.192,476.06,0.000902,50.0985,268.2847,323.7654,-0.00048,-0.0929,-47.0091,0.9111,large,323.7654,True,da=+323.77km[large] | di=-0.0929deg | dOmega_res=+0.911deg
59281,YUNHAI 2-2B,2024-04-16 11:51:43.400448+00:00,2024-04-17 09:34:30.237312+00:00,21.71,7511.726,1133.59,0.000616,50.096,135.0705,-87.4454,0.000116,0.0027,-3.4208,-0.0916,large,87.4454,True,da=-87.45km[large]
60249,GAOFEN 11-05,2024-11-29 09:58:05.102976+00:00,2024-12-17 19:06:27.698688+00:00,441.14,6800.749,422.61,0.010918,97.4556,47.4964,71.5763,-0.010789,-0.0004,18.2893,-0.3509,large,71.5763,True,da=+71.58km[large] | de=-0.01079 | dOmega_res=-0.351deg
59281,YUNHAI 2-2B,2024-04-17 13:04:28.159104+00:00,2024-04-18 01:11:55.712832+00:00,12.12,7421.843,1043.71,0.001971,50.0831,130.8753,-71.5607,-0.000929,0.0213,-1.6706,0.2618,large,71.5607,True,da=-71.56km[large] | di=+0.0213deg | dOmega_res=+0.262deg
56156,OBJECT D,2024-12-01 18:05:27.750624+00:00,2024-12-02 13:07:19.837632+00:00,19.03,6830.019,451.88,0.0105,97.4859,160.9079,71.2182,-0.010321,0.0151,0.7881,-0.0082,large,71.2182,True,da=+71.22km[large] | de=-0.01032
56156,OBJECT D,2024-12-01 13:20:00.786624+00:00,2024-12-01 18:05:27.750624+00:00,4.76,6901.219,523.08,0.000171,97.5013,160.723,-71.2003,0.01033,-0.0154,0.1849,-0.0142,large,71.2003,True,da=-71.20km[large] | de=+0.01033
59281,YUNHAI 2-2B,2024-04-18 01:11:55.712832+00:00,2024-04-18 23:39:40.622112+00:00,22.46,7350.282,972.15,0.001042,50.1044,129.2047,-65.2729,0.000191,0.0019,-3.6687,0.029,large,65.2729,True,da=-65.27km[large]
59281,YUNHAI 2-2B,2024-04-19 11:22:51.184992+00:00,2024-04-20 01:22:28.435584+00:00,13.99,7284.992,906.86,0.000752,50.0965,123.5257,-50.5764,-0.000217,0.0603,-2.2449,0.1226,large,50.5764,True,da=-50.58km[large] | di=+0.0603deg | dOmega_res=+0.123deg
