norad_id,sat_name,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,da_km,de,di_deg,draan_raw_deg,draan_res_deg,da_severity,score,flagged,flag_reason
57456,YAOGAN-36 05C,2026-01-27 22:52:58.929312+00:00,2026-02-08 14:37:52.027680+00:00,279.75,6886.993,508.86,0.003736,42.8949,228.2196,6.0265,-0.002783,-7.9027,-65.9422,3.0032,medium,395.135,True,da=+6.03km[medium] | di=-7.9027deg | de=-0.00278 | dOmega_res=+3.003deg
57456,YAOGAN-36 05C,2026-01-22 08:46:11.934624+00:00,2026-01-27 22:52:58.929312+00:00,134.11,6889.191,511.05,0.000139,34.9922,269.7196,-2.198,0.003597,7.9027,-41.5,-8.4151,small,395.135,True,da=-2.20km[small] | di=+7.9027deg | de=+0.00360 | dOmega_res=-8.415deg
65546,OBJECT C,2026-01-04 16:11:40.618752+00:00,2026-01-04 17:50:48.422400+00:00,1.65,7229.279,851.14,0.000149,85.9924,117.4904,-188.8085,0.025019,0.3667,-0.8993,-0.8684,large,188.8085,True,da=-188.81km[large] | di=+0.3667deg | de=+0.02502 | dOmega_res=-0.868deg
65546,OBJECT C,2026-01-04 17:50:48.422400+00:00,2026-01-09 18:36:50.933664+00:00,120.77,7040.471,662.33,0.025167,86.3591,116.5911,188.7988,-0.025026,-0.3671,-1.3879,0.8716,large,188.7988,True,da=+188.80km[large] | di=-0.3671deg | de=-0.02503 | dOmega_res=+0.872deg
67433,YAOGAN-50,2026-01-16 04:17:29.045760+00:00,2026-01-20 18:11:03.012864+00:00,109.89,7197.281,819.14,0.016496,141.9984,200.7842,133.229,-0.016421,0.0308,22.537,-0.277,large,133.229,True,da=+133.23km[large] | di=+0.0308deg | de=-0.01642 | dOmega_res=-0.277deg
67689,PRC TEST SPACECRAFT 4,2026-02-12 07:09:06.610752+00:00,2026-02-12 12:08:38.217696+00:00,4.99,6848.185,470.05,0.017759,49.9874,141.8846,122.6794,-0.01714,-0.002,-0.8951,0.1121,large,122.6794,True,da=+122.68km[large] | de=-0.01714 | dOmega_res=+0.112deg
67475,CZ-2C R/B,2026-01-16 14:10:50.085408+00:00,2026-01-16 22:37:41.386368+00:00,8.45,6873.802,495.67,0.001141,97.4729,91.3608,62.3687,0.008755,-0.2911,-0.0853,-0.4241,large,62.3687,True,da=+62.37km[large] | di=-0.2911deg | de=+0.00876 | dOmega_res=-0.424deg
67475,CZ-2C R/B,2026-01-30 09:15:18.401760+00:00,2026-01-30 22:10:52.455936+00:00,12.93,6874.056,495.92,0.001169,97.4703,105.0904,61.5702,0.008805,-0.2909,-0.8475,-1.3658,large,61.5702,True,da=+61.57km[large] | di=-0.2909deg | de=+0.00881 | dOmega_res=-1.366deg
67475,CZ-2C R/B,2026-01-24 12:47:26.086848+00:00,2026-01-24 22:23:48.442848+00:00,9.61,6935.855,557.72,0.009917,97.1801,98.3148,-61.4475,-0.008786,0.2903,1.3495,0.9643,large,61.4475,True,da=-61.45km[large] | di=+0.2903deg | de=-0.00879 | dOmega_res=+0.964deg
51831,OBJECT H,2026-04-18 20:37:30.881280+00:00,2026-04-21 15:05:46.802688+00:00,66.47,6601.908,223.77,0.000943,97.3545,205.7065,-59.3993,0.000326,-0.0097,3.1573,-0.0214,large,59.3993,True,da=-59.40km[large]
