norad_id,mission_batch,launch_date,sat_count
55501,G2-8,2023-04-27,46
56472,G5-6,2023-05-10,56
56475,G5-6,2023-05-10,56
56490,G5-6,2023-05-10,56
56492,G5-6,2023-05-10,56
56493,G5-6,2023-05-10,56
56495,G5-6,2023-05-10,56
56496,G5-6,2023-05-10,56
56498,G5-6,2023-05-10,56
57294,G6-5,2023-07-10,51
57300,G6-5,2023-07-10,51
57301,G6-5,2023-07-10,51
57302,G6-5,2023-07-10,51
57676,G7-1,2023-08-22,21
57677,G7-1,2023-08-22,21
57678,G7-1,2023-08-22,21
57679,G7-1,2023-08-22,21
57680,G7-1,2023-08-22,21
57681,G7-1,2023-08-22,21
57682,G7-1,2023-08-22,21
57683,G7-1,2023-08-22,21
58388,G6-23,2023-10-18,22
58395,G6-23,2023-10-18,22
58402,G6-23,2023-10-18,22
58403,G6-23,2023-10-18,22
58405,G6-23,2023-10-18,22
58243,G6-27,2023-11-08,23
58251,G6-27,2023-11-08,23
58379,G6-28,2023-11-20,22
58381,G6-28,2023-11-20,22
58383,G6-28,2023-11-20,22
58385,G6-28,2023-11-20,22
58387,G6-28,2023-11-20,22
58389,G6-28,2023-11-20,22
58391,G6-28,2023-11-20,22
58393,G6-28,2023-11-20,22
58406,G6-28,2023-11-20,22
58408,G6-28,2023-11-20,22
56100,G6-30,2023-12-03,23
56101,G6-30,2023-12-03,23
56102,G6-30,2023-12-03,23
56103,G6-30,2023-12-03,23
56104,G6-30,2023-12-03,23
56105,G6-30,2023-12-03,23
56107,G6-30,2023-12-03,23
56108,G6-30,2023-12-03,23
56109,G6-30,2023-12-03,23
58733,G7-9,2024-01-07,23
58735,G7-9,2024-01-07,23
58737,G7-9,2024-01-07,23
58739,G7-9,2024-01-07,23
58741,G7-9,2024-01-07,23
58743,G7-9,2024-01-07,23
58745,G7-9,2024-01-07,23
58210,G7-12,2024-02-10,22
58211,G7-12,2024-02-10,22
58212,G7-12,2024-02-10,22
58213,G7-12,2024-02-10,22
58214,G7-12,2024-02-10,22
58215,G7-12,2024-02-10,22
58217,G7-12,2024-02-10,22
58218,G7-12,2024-02-10,22
58219,G7-12,2024-02-10,22
59550,G6-36,2024-03-04,23
59551,G6-36,2024-03-04,23
59552,G6-36,2024-03-04,23
59553,G6-36,2024-03-04,23
59554,G6-36,2024-03-04,23
59555,G6-36,2024-03-04,23
59556,G6-36,2024-03-04,23
59429,G8-1,2024-04-07,21
59430,G8-1,2024-04-07,21
59431,G8-1,2024-04-07,21
59432,G8-1,2024-04-07,21
59433,G8-1,2024-04-07,21
59434,G8-1,2024-04-07,21
59435,G8-1,2024-04-07,21
59436,G8-1,2024-04-07,21
59437,G8-1,2024-04-07,21
59841,G6-56,2024-05-23,23
59842,G6-56,2024-05-23,23
59843,G6-56,2024-05-23,23
59844,G6-56,2024-05-23,23
59845,G6-56,2024-05-23,23
59846,G6-56,2024-05-23,23
59847,G6-56,2024-05-23,23
59848,G6-56,2024-05-23,23
